,rep,model2,time,variable,type,value
356,Rep16,JM_cumulative,15,PE,training,NA
357,Rep17,JM_cumulative,15,PE,training,0.14823240345097
358,Rep18,JM_cumulative,15,PE,training,0.146645437092593
359,Rep19,JM_cumulative,15,PE,training,0.144040163474904
360,Rep20,JM_cumulative,15,PE,training,0.14173514495214
361,Rep01,cox(Landmark),15,PE,training,0.132903799994979
362,Rep02,cox(Landmark),15,PE,training,0.136000336299307
363,Rep03,cox(Landmark),15,PE,training,0.134340442781729
364,Rep04,cox(Landmark),15,PE,training,0.136905586866353
365,Rep05,cox(Landmark),15,PE,training,0.136907644536864
366,Rep06,cox(Landmark),15,PE,training,0.13421786622886
367,Rep07,cox(Landmark),15,PE,training,0.13618433362234
368,Rep08,cox(Landmark),15,PE,training,0.136435198287119
369,Rep09,cox(Landmark),15,PE,training,0.137819504470084
370,Rep10,cox(Landmark),15,PE,training,0.134510963566989
371,Rep11,cox(Landmark),15,PE,training,0.133361771516718
372,Rep12,cox(Landmark),15,PE,training,0.135304957161621
373,Rep13,cox(Landmark),15,PE,training,0.136469613245378
374,Rep14,cox(Landmark),15,PE,training,0.135810876000491
375,Rep15,cox(Landmark),15,PE,training,0.13504678338965
376,Rep16,cox(Landmark),15,PE,training,0.136597747988785
377,Rep17,cox(Landmark),15,PE,training,0.136942777910212
378,Rep18,cox(Landmark),15,PE,training,0.136616430897148
379,Rep19,cox(Landmark),15,PE,training,0.136561831005825
380,Rep20,cox(Landmark),15,PE,training,0.136369542360992
381,Rep01,cox(Postsurgical),15,PE,training,0.152802107943736
382,Rep02,cox(Postsurgical),15,PE,training,0.153268448499104
383,Rep03,cox(Postsurgical),15,PE,training,0.155772040244274
384,Rep04,cox(Postsurgical),15,PE,training,0.156659533756099
385,Rep05,cox(Postsurgical),15,PE,training,0.156400868456246
386,Rep06,cox(Postsurgical),15,PE,training,0.154646181250928
387,Rep07,cox(Postsurgical),15,PE,training,0.156268892190936
388,Rep08,cox(Postsurgical),15,PE,training,0.155005013525652
389,Rep09,cox(Postsurgical),15,PE,training,0.15805143683273
390,Rep10,cox(Postsurgical),15,PE,training,0.155344501294004
391,Rep11,cox(Postsurgical),15,PE,training,0.14948231971151
392,Rep12,cox(Postsurgical),15,PE,training,0.15737401124997
393,Rep13,cox(Postsurgical),15,PE,training,0.157532750003933
394,Rep14,cox(Postsurgical),15,PE,training,0.152242782350778
395,Rep15,cox(Postsurgical),15,PE,training,0.153644894256697
396,Rep16,cox(Postsurgical),15,PE,training,0.155442351600583
397,Rep17,cox(Postsurgical),15,PE,training,0.158132245661401
398,Rep18,cox(Postsurgical),15,PE,training,0.154951387666983
399,Rep19,cox(Postsurgical),15,PE,training,0.155372279478261
400,Rep20,cox(Postsurgical),15,PE,training,0.156847386198797
401,Rep01,JM_value,12,AUC,testing,0.774303935572362
402,Rep02,JM_value,12,AUC,testing,0.880816307046204
403,Rep03,JM_value,12,AUC,testing,0.795685120186385
404,Rep04,JM_value,12,AUC,testing,0.862629911585408
405,Rep05,JM_value,12,AUC,testing,0.9057442329615
406,Rep06,JM_value,12,AUC,testing,0.801840119707943
407,Rep07,JM_value,12,AUC,testing,0.818182829424298
408,Rep08,JM_value,12,AUC,testing,0.764180685626981
409,Rep09,JM_value,12,AUC,testing,0.930527614802623
410,Rep10,JM_value,12,AUC,testing,0.815961614272322
411,Rep11,JM_value,12,AUC,testing,0.936351053435052
412,Rep12,JM_value,12,AUC,testing,0.83993417560057
413,Rep13,JM_value,12,AUC,testing,0.835154713193413
414,Rep14,JM_value,12,AUC,testing,0.841773078222872
415,Rep15,JM_value,12,AUC,testing,0.801740240547961
416,Rep16,JM_value,12,AUC,testing,0.8439886611768
417,Rep17,JM_value,12,AUC,testing,0.924121526837655
418,Rep18,JM_value,12,AUC,testing,0.934394077558404
419,Rep19,JM_value,12,AUC,testing,0.790072675603787
420,Rep20,JM_value,12,AUC,testing,0.824759019235288
421,Rep01,JM_value-slope,12,AUC,testing,0.779923374883762
422,Rep02,JM_value-slope,12,AUC,testing,0.843636051360479
423,Rep03,JM_value-slope,12,AUC,testing,0.704705133121444
424,Rep04,JM_value-slope,12,AUC,testing,0.509090217820632
425,Rep05,JM_value-slope,12,AUC,testing,0.88557188575727
426,Rep06,JM_value-slope,12,AUC,testing,0.854403147530085
427,Rep07,JM_value-slope,12,AUC,testing,0.838509489348302
428,Rep08,JM_value-slope,12,AUC,testing,0.863959799175889
429,Rep09,JM_value-slope,12,AUC,testing,0.858778373080799
430,Rep10,JM_value-slope,12,AUC,testing,0.883429007038085
431,Rep11,JM_value-slope,12,AUC,testing,0.910186157942717
432,Rep12,JM_value-slope,12,AUC,testing,0.916337692080225
433,Rep13,JM_value-slope,12,AUC,testing,0.693989639506562
434,Rep14,JM_value-slope,12,AUC,testing,0.86658694606131
435,Rep15,JM_value-slope,12,AUC,testing,0.826936579346545
436,Rep16,JM_value-slope,12,AUC,testing,0.805581024237941
437,Rep17,JM_value-slope,12,AUC,testing,0.910300349515277
438,Rep18,JM_value-slope,12,AUC,testing,0.806413955667369
439,Rep19,JM_value-slope,12,AUC,testing,0.859873184346734
440,Rep20,JM_value-slope,12,AUC,testing,0.897920145344122
441,Rep01,JM_cumulative,12,AUC,testing,0.89019241057952
442,Rep02,JM_cumulative,12,AUC,testing,0.868805923389115
443,Rep03,JM_cumulative,12,AUC,testing,0.883244973699541
444,Rep04,JM_cumulative,12,AUC,testing,0.809218844880639
445,Rep05,JM_cumulative,12,AUC,testing,0.91991081230147
446,Rep06,JM_cumulative,12,AUC,testing,0.901132309036599
447,Rep07,JM_cumulative,12,AUC,testing,0.819926734488161
448,Rep08,JM_cumulative,12,AUC,testing,0.847600487620003
449,Rep09,JM_cumulative,12,AUC,testing,0.872151367295933
450,Rep10,JM_cumulative,12,AUC,testing,0.931120858254809
